elevation,floorPlans,comX,comY
0.0,Floor_1_7,0.0,0.0
6.0,Floor_1_7,0.0,0.0
9.0,Floor_1_7,0.0,0.0
12.0,Floor_1_7,0.0,0.0
15.0,Floor_1_7,0.0,0.0
18.0,Floor_1_7,0.0,0.0
21.0,Floor_1_7 Floor_8_10_16_19,0.0,0.0
24.0,Floor_8_10_16_19,0.0,0.0
27.0,Floor_8_10_16_19,0.0,0.0
30.0,Floor_11_15,0.0,0.0
33.0,Floor_11_15,0.0,0.0
36.0,Floor_11_15,0.0,0.0
39.0,Floor_11_15,0.0,0.0
42.0,Floor_11_15,0.0,0.0
45.0,Floor_11_15,0.0,0.0
48.0,Floor_11_15,0.0,0.0
51.0,Floor_8_10_16_19,0.0,0.0
54.0,Floor_8_10_16_19,0.0,0.0
57.0,Floor_8_10_16_19,0.0,0.0
60.0,Floor_8_10_16_19,0.0,0.0
